Passerelle,Date,SF,RSSI,SNR,N° séquence,Message
Requea,02/09/2025 16:27,7,-47,7,614,
Requea,02/09/2025 16:25,7,-51,10,613,03D21301000004D21201000005CC00000000
Requea,02/09/2025 16:10,7,-44,7,612,03D21301000004D21201000005CC00000000
Requea,02/09/2025 15:55,7,-39,9,610,03D21301000004D21201000005CC00000000
Requea,02/09/2025 15:40,7,-49,8,609,03D21301000004D21201000005CC00000000
Requea,02/09/2025 15:30,7,-47,8,608,
Requea,02/09/2025 15:25,7,-45,9,607,03D21301000004D21201000005CC00000000
Requea,02/09/2025 15:10,7,-48,9,606,03D21301000004D21201000005CC00000000
Requea,02/09/2025 15:05,7,-49,9,605,
Requea,02/09/2025 14:40,7,-49,9,603,03D21301000004D21201000005CC00000000
Requea,02/09/2025 14:31,7,-47,10,602,
Requea,02/09/2025 14:25,7,-48,10,601,03D21301000004D21201000005CC00000000
Requea,02/09/2025 14:10,7,-49,6,600,03D21301000004D21201000005CC00000000
Requea,02/09/2025 13:55,7,-45,9,598,03D21301000004D21201000005CC01000500
Requea,02/09/2025 13:40,7,-49,9,597,03D21201000004D20D01000005CC00000000
Requea,02/09/2025 13:25,7,-45,9,596,
Requea,02/09/2025 13:25,7,-44,9,595,03D21201000004D20D01000005CC03000300
Requea,02/09/2025 13:10,7,-51,11,594,03D20F01000004D20A01000005CC02000100
Requea,02/09/2025 12:55,7,-43,8,593,03D20D01000004D20901000005CC06000300
Requea,02/09/2025 12:55,7,-41,9,592,
Requea,02/09/2025 12:40,7,-43,8,591,03D20701000004D20601000005CC01000100
Requea,02/09/2025 12:26,7,-45,8,590,
Requea,02/09/2025 12:25,7,-45,9,589,03D20601000004D20501000005CC01000100
Requea,02/09/2025 12:10,7,-48,9,588,03D20501000004D20401000005CC00000000
Requea,02/09/2025 11:55,7,-47,7,587,03D20501000004D20401000005CC00000000
Requea,02/09/2025 11:54,7,-47,9,586,
Requea,02/09/2025 11:25,7,-45,8,584,03D20501000004D20401000005CC00000000
Requea,02/09/2025 11:24,7,-43,6,583,
Requea,02/09/2025 11:10,7,-48,9,582,03D20501000004D20401000005CC03000300
Requea,02/09/2025 10:55,7,-47,9,581,03D20201000004D20101000005CC01000100
Requea,02/09/2025 10:51,7,-44,7,580,
Requea,02/09/2025 10:40,7,-42,9,579,03D20101000004D20001000005CC00000000
Requea,02/09/2025 10:25,7,-49,8,578,03D20101000004D20001000005CC00000000
Requea,02/09/2025 10:21,7,-47,9,577,
Requea,02/09/2025 10:10,7,-40,8,576,03D20101000004D20001000005CC01000100
Requea,02/09/2025 09:55,7,-47,10,575,03D20001000004D2FF00000005CC00000000
Requea,02/09/2025 09:55,7,-45,7,574,
Requea,02/09/2025 09:40,7,-45,10,573,03D20001000004D2FF00000005CC00000000
Requea,02/09/2025 09:25,7,-48,9,572,03D20001000004D2FF00000005CC00000000
Requea,02/09/2025 09:20,7,-44,9,571,
Requea,02/09/2025 09:10,7,-49,10,570,03D20001000004D2FF00000005CC01000500
Requea,02/09/2025 08:52,7,-49,9,568,
Requea,02/09/2025 08:40,7,-41,7,567,03D2F800000004D2F700000005CC01000100
Requea,02/09/2025 08:25,7,-49,10,566,03D2F700000004D2F600000005CC00000000
Requea,02/09/2025 08:10,7,-48,10,564,03D2F700000004D2F600000005CC01000100
Requea,02/09/2025 07:55,7,-51,9,563,03D2F600000004D2F500000005CC00000000
Requea,02/09/2025 07:40,7,-55,10,561,03D2F600000004D2F500000005CC00000000
Requea,02/09/2025 07:25,7,-54,7,560,03D2F600000004D2F500000005CC00000000
Requea,02/09/2025 07:21,7,-47,8,559,
Requea,02/09/2025 07:10,7,-53,9,558,03D2F600000004D2F500000005CC00000000
